Kernel,WorldSize,Run,StatName,StatValue,ActualTime
p2p,2,0,Rate (MFlops/s),1055.13773400,190.54939747
p2p,2,0,Avg time (s),0.01893400,190.54939747
p2p,2,1,Rate (MFlops/s),1055.10530100,194.18096781
p2p,2,1,Avg time (s),0.01893500,194.18096781
p2p,2,2,Rate (MFlops/s),1055.22199900,190.73208308
p2p,2,2,Avg time (s),0.01893300,190.73208308
p2p,2,3,Rate (MFlops/s),1054.98496400,190.91444421
p2p,2,3,Avg time (s),0.01893700,190.91444421
p2p,2,4,Rate (MFlops/s),1055.40152900,190.66399980
p2p,2,4,Avg time (s),0.01892900,190.66399980
p2p,4,0,Rate (MFlops/s),1926.74556400,108.02386284
p2p,4,0,Avg time (s),0.01036900,108.02386284
p2p,4,1,Rate (MFlops/s),1932.14187600,104.80697870
p2p,4,1,Avg time (s),0.01034000,104.80697870
p2p,4,2,Rate (MFlops/s),1928.92066500,106.25322104
p2p,4,2,Avg time (s),0.01035700,106.25322104
p2p,4,3,Rate (MFlops/s),1939.59362100,104.35080934
p2p,4,3,Avg time (s),0.01030000,104.35080934
p2p,4,4,Rate (MFlops/s),1926.95836800,105.00531030
p2p,4,4,Avg time (s),0.01036800,105.00531030
p2p,8,0,Rate (MFlops/s),1442.73784700,139.78611374
p2p,8,0,Avg time (s),0.01384700,139.78611374
p2p,8,1,Rate (MFlops/s),1443.29326500,142.54619050
p2p,8,1,Avg time (s),0.01384200,142.54619050
p2p,8,2,Rate (MFlops/s),1433.28424600,141.71015000
p2p,8,2,Avg time (s),0.01393900,141.71015000
p2p,8,3,Rate (MFlops/s),1464.16648400,137.98405719
p2p,8,3,Avg time (s),0.01364500,137.98405719
p2p,8,4,Rate (MFlops/s),1422.49105000,141.88925481
p2p,8,4,Avg time (s),0.01404400,141.88925481
p2p,16,0,Rate (MFlops/s),1125.30474600,178.95109296
p2p,16,0,Avg time (s),0.01775300,178.95109296
p2p,16,1,Rate (MFlops/s),1151.77830300,177.63759875
p2p,16,1,Avg time (s),0.01734500,177.63759875
p2p,16,2,Rate (MFlops/s),1138.23164200,177.06199026
p2p,16,2,Avg time (s),0.01755200,177.06199026
p2p,16,3,Rate (MFlops/s),1211.21577600,166.36372161
p2p,16,3,Avg time (s),0.01649400,166.36372161
p2p,16,4,Rate (MFlops/s),1114.18566800,180.65172768
p2p,16,4,Avg time (s),0.01793100,180.65172768
