Kernel,WorldSize,Run,StatName,StatValue,ActualTime
p2p,2,0,Rate (MFlops/s),1663.41151900,120.15800000
p2p,2,0,Avg time (s),0.01201000,120.15800000
p2p,2,1,Rate (MFlops/s),1666.02748600,119.96500000
p2p,2,1,Avg time (s),0.01199100,119.96500000
p2p,2,2,Rate (MFlops/s),1663.84571600,120.12600000
p2p,2,2,Avg time (s),0.01200700,120.12600000
p2p,2,3,Rate (MFlops/s),1659.87989300,120.39800000
p2p,2,3,Avg time (s),0.01203600,120.39800000
p2p,2,4,Rate (MFlops/s),1667.73886800,119.84000000
p2p,2,4,Avg time (s),0.01197900,119.84000000
p2p,4,0,Rate (MFlops/s),2862.05033400,69.85600000
p2p,4,0,Avg time (s),0.00698000,69.85600000
p2p,4,1,Rate (MFlops/s),2853.94565300,70.04400000
p2p,4,1,Avg time (s),0.00700000,70.04400000
p2p,4,2,Rate (MFlops/s),2849.69021100,70.15200000
p2p,4,2,Avg time (s),0.00701100,70.15200000
p2p,4,3,Rate (MFlops/s),2895.59513800,69.04200000
p2p,4,3,Avg time (s),0.00689900,69.04200000
p2p,4,4,Rate (MFlops/s),2851.55772300,70.10500000
p2p,4,4,Avg time (s),0.00700600,70.10500000
p2p,8,0,Rate (MFlops/s),2189.83896000,91.30600000
p2p,8,0,Avg time (s),0.00912300,91.30600000
p2p,8,1,Rate (MFlops/s),2137.04903300,93.55800000
p2p,8,1,Avg time (s),0.00934800,93.55800000
p2p,8,2,Rate (MFlops/s),2181.93562400,91.62700000
p2p,8,2,Avg time (s),0.00915600,91.62700000
p2p,8,3,Rate (MFlops/s),2146.92221800,93.12400000
p2p,8,3,Avg time (s),0.00930500,93.12400000
p2p,8,4,Rate (MFlops/s),2135.39878500,93.62600000
p2p,8,4,Avg time (s),0.00935600,93.62600000
p2p,16,0,Rate (MFlops/s),1763.74775200,113.36600000
p2p,16,0,Avg time (s),0.01132700,113.36600000
p2p,16,1,Rate (MFlops/s),1739.99239900,114.90400000
p2p,16,1,Avg time (s),0.01148200,114.90400000
p2p,16,2,Rate (MFlops/s),1755.04121400,113.93200000
p2p,16,2,Avg time (s),0.01138300,113.93200000
p2p,16,3,Rate (MFlops/s),1767.40505900,113.12100000
p2p,16,3,Avg time (s),0.01130400,113.12100000
p2p,16,4,Rate (MFlops/s),1744.18278500,114.62900000
p2p,16,4,Avg time (s),0.01145400,114.62900000
