Kernel,WorldSize,Run,StatName,StatValue,ActualTime
reduce,2,0,Rate (MFlops/s),1488.94089200,1.77700000
reduce,2,0,Avg time (s),0.00004000,1.77700000
reduce,2,1,Rate (MFlops/s),1571.63307100,1.68300000
reduce,2,1,Avg time (s),0.00003800,1.68300000
reduce,4,0,Rate (MFlops/s),1151.71524300,4.89600000
reduce,4,0,Avg time (s),0.00012200,4.89600000
reduce,4,1,Rate (MFlops/s),1169.09839100,4.95800000
reduce,4,1,Avg time (s),0.00012000,4.95800000
reduce,8,0,Rate (MFlops/s),800.48680300,15.04700000
reduce,8,0,Avg time (s),0.00037500,15.04700000
reduce,8,1,Rate (MFlops/s),793.37515900,15.18400000
reduce,8,1,Avg time (s),0.00037800,15.18400000
reduce,16,0,Rate (MFlops/s),1304.49371300,19.49000000
reduce,16,0,Avg time (s),0.00047500,19.49000000
reduce,16,1,Rate (MFlops/s),1376.90390300,18.08400000
reduce,16,1,Avg time (s),0.00045000,18.08400000
