Kernel,WorldSize,Run,StatName,StatValue,ActualTime
transpose,2,0,Rate (MB/s),5022.06018400,6.59400000
transpose,2,0,Avg time (s),0.01274400,6.59400000
transpose,2,1,Rate (MB/s),5007.78554200,6.62000000
transpose,2,1,Avg time (s),0.01278000,6.62000000
transpose,2,2,Rate (MB/s),4775.12304100,6.89700000
transpose,2,2,Avg time (s),0.01340300,6.89700000
transpose,2,3,Rate (MB/s),4752.24610500,6.80000000
transpose,2,3,Avg time (s),0.01346700,6.80000000
transpose,2,4,Rate (MB/s),4860.39281100,6.79700000
transpose,2,4,Avg time (s),0.01316800,6.79700000
transpose,4,0,Rate (MB/s),6653.69473400,4.87100000
transpose,4,0,Avg time (s),0.00961900,4.87100000
transpose,4,1,Rate (MB/s),5938.11665900,5.44800000
transpose,4,1,Avg time (s),0.01077800,5.44800000
transpose,4,2,Rate (MB/s),5599.64008300,5.78100000
transpose,4,2,Avg time (s),0.01142900,5.78100000
transpose,4,3,Rate (MB/s),5783.22694300,5.58900000
transpose,4,3,Avg time (s),0.01106600,5.58900000
transpose,4,4,Rate (MB/s),6813.75868200,4.75800000
transpose,4,4,Avg time (s),0.00939300,4.75800000
transpose,8,0,Rate (MB/s),4538.21145700,7.15400000
transpose,8,0,Avg time (s),0.01410200,7.15400000
transpose,8,1,Rate (MB/s),4551.95595400,7.15300000
transpose,8,1,Avg time (s),0.01406000,7.15300000
transpose,8,2,Rate (MB/s),4926.03633400,6.58100000
transpose,8,2,Avg time (s),0.01299200,6.58100000
transpose,8,3,Rate (MB/s),4614.26476900,7.06600000
transpose,8,3,Avg time (s),0.01387000,7.06600000
transpose,8,4,Rate (MB/s),4642.11336900,6.99300000
transpose,8,4,Avg time (s),0.01378700,6.99300000
transpose,16,0,Rate (MB/s),6238.38831200,5.30100000
transpose,16,0,Avg time (s),0.01025900,5.30100000
transpose,16,1,Rate (MB/s),6191.42452900,5.32400000
transpose,16,1,Avg time (s),0.01033700,5.32400000
transpose,16,2,Rate (MB/s),6195.03959300,5.27200000
transpose,16,2,Avg time (s),0.01033100,5.27200000
transpose,16,3,Rate (MB/s),6312.18488400,5.20300000
transpose,16,3,Avg time (s),0.01013900,5.20300000
transpose,16,4,Rate (MB/s),6195.44139400,5.28500000
transpose,16,4,Avg time (s),0.01033000,5.28500000
