WorldSize,Run,Reported,Actual
1,0,89,95.19
1,1,89,94.96
1,2,89,95.17
1,3,89,94.94
1,4,89,95.13
2,0,46,51.41
2,1,46,51.47
2,2,45,51.29
2,3,46,51.30
2,4,46,51.43
3,0,47,53.19
3,1,48,53.75
3,2,47,52.95
3,3,47,53.16
3,4,47,53.40
4,0,37,42.49
4,1,36,42.23
4,2,37,42.51
4,3,36,42.32
4,4,36,42.33
5,0,30,36.38
5,1,31,36.68
5,2,30,36.28
5,3,30,36.22
5,4,31,36.49
6,0,24,30.06
6,1,24,30.12
6,2,24,30.01
6,3,24,30.18
6,4,24,30.23
7,0,22,27.50
7,1,21,27.29
7,2,22,27.48
7,3,21,27.63
7,4,21,27.41
8,0,19,24.64
8,1,19,24.71
8,2,19,24.60
8,3,19,24.51
8,4,19,24.61
9,0,17,22.41
9,1,16,22.46
9,2,16,22.41
9,3,16,22.16
9,4,16,22.33
10,0,15,21.33
10,1,15,21.35
10,2,15,21.45
10,3,15,21.41
10,4,15,21.40
11,0,13,19.42
11,1,13,19.22
11,2,13,19.38
11,3,13,19.38
11,4,13,19.30
12,0,13,18.64
12,1,13,18.70
12,2,13,18.76
12,3,13,18.55
12,4,13,18.72
13,0,12,18.22
13,1,12,18.11
13,2,12,18.31
14,0,11,17.31
14,1,11,16.83
14,2,11,16.86
14,3,11,16.71
14,4,11,16.78
15,0,11,16.40
15,1,10,16.18
15,2,11,16.41
15,3,10,16.31
15,4,10,16.14
16,0,10,15.80
16,1,10,15.98
16,2,10,15.44
16,3,10,15.35
16,4,10,15.70
