WorldSize,Run,Reported,Actual
1,0,225,231.19
1,1,224,229.86
1,2,223,229.15
1,3,224,229.51
1,4,224,229.75
2,0,116,122.05
2,1,116,121.61
2,2,116,122.36
2,3,116,121.96
2,4,116,122.08
3,0,78,84.12
3,1,78,84.06
3,2,78,84.19
3,3,78,83.85
3,4,78,84.29
4,0,59,65.13
4,1,59,65.11
4,2,59,65.12
4,3,59,65.42
4,4,59,65.18
5,0,57,62.60
5,1,56,62.19
5,2,56,62.37
5,3,56,62.17
5,4,57,62.88
6,0,46,52.00
6,1,46,51.92
6,2,46,52.19
6,3,46,51.94
6,4,47,52.47
7,0,45,51.20
7,1,45,51.44
7,2,45,50.43
7,3,45,51.36
7,4,46,51.50
8,0,37,42.59
8,1,37,42.88
8,2,37,42.64
8,3,37,42.50
8,4,36,42.53
9,0,45,50.57
9,1,45,50.53
9,2,45,50.61
9,3,45,50.54
9,4,45,50.93
10,0,38,44.10
10,1,38,43.51
10,2,36,42.49
10,3,38,43.64
10,4,37,42.65
11,0,42,47.74
11,1,42,47.98
11,2,41,47.39
11,3,43,48.51
11,4,41,47.47
12,0,38,44.17
12,1,38,44.27
12,2,38,44.26
12,3,39,45.35
12,4,38,44.20
13,0,38,43.71
13,1,38,44.17
13,2,37,43.55
13,3,38,43.93
13,4,37,43.30
14,0,29,35.48
14,1,30,35.71
14,2,30,36.28
14,3,29,35.50
14,4,30,35.65
15,0,36,42.14
15,1,38,43.80
15,2,35,41.36
15,3,37,42.83
15,4,36,41.79
16,0,28,33.62
16,1,27,36.41
16,2,28,34.02
16,3,28,34.03
16,4,28,34.03
