WorldSize,Run,Reported,Actual
1,0,94,95.00
1,1,95,96.23
1,2,93,94.28
1,3,95,95.82
1,4,93,94.07
2,0,47,48.10
2,1,47,48.20
2,2,48,48.38
2,3,48,48.37
2,4,48,48.47
3,0,46,46.74
3,1,45,46.09
3,2,46,46.99
3,3,46,46.24
3,4,46,47.07
4,0,40,40.87
4,1,39,39.33
4,2,39,40.07
4,3,39,39.75
4,4,40,40.29
5,0,32,32.82
5,1,33,33.49
5,2,33,33.72
5,3,33,33.60
5,4,32,33.19
6,0,27,27.36
6,1,27,27.52
6,2,27,27.56
6,3,27,27.59
6,4,26,27.07
7,0,23,23.86
7,1,23,23.61
7,2,24,24.44
7,3,23,23.50
7,4,23,23.45
8,0,21,21.55
8,1,21,21.89
8,2,21,21.67
8,3,21,21.72
8,4,21,21.71
9,0,18,19.17
9,1,18,18.87
9,2,18,19.11
9,3,19,19.27
9,4,18,18.85
10,0,17,17.66
10,1,17,17.41
10,2,17,17.58
10,3,17,17.64
10,4,17,17.40
11,0,15,15.57
11,1,15,15.73
11,2,15,15.68
11,3,15,15.75
11,4,15,15.81
12,0,14,14.65
12,1,14,14.69
12,2,14,14.76
12,3,14,14.65
12,4,14,14.85
13,0,13,14.09
13,1,14,14.35
13,2,13,14.20
13,3,13,14.18
13,4,14,14.27
14,0,12,14.42
14,1,12,13.15
14,2,12,12.99
14,3,12,12.82
14,4,12,12.90
15,0,11,11.78
15,1,11,11.75
15,2,11,11.64
16,0,11,11.64
16,1,11,11.25
16,2,10,11.10
