WorldSize,Run,Reported,Actual
1,0,239,240.14
1,1,234,235.18
1,2,239,239.66
1,3,239,239.83
1,4,239,240.17
2,0,125,126.16
2,1,125,126.08
2,2,125,125.77
2,3,125,125.66
2,4,126,126.29
3,0,129,129.54
3,1,129,129.94
3,2,130,130.42
3,3,130,130.60
3,4,129,129.71
4,0,105,105.47
4,1,105,105.62
4,2,106,106.36
4,3,105,105.29
4,4,105,105.84
5,0,103,103.98
5,1,103,103.82
5,2,102,103.04
5,3,102,102.98
5,4,102,103.10
6,0,87,87.94
6,1,87,87.59
6,2,88,88.38
6,3,88,88.25
6,4,87,87.84
7,0,81,82.13
7,1,82,82.40
7,2,81,81.89
7,3,81,81.64
7,4,82,82.48
8,0,73,73.92
8,1,73,73.73
8,2,72,73.13
8,3,73,73.70
8,4,73,73.88
9,0,79,80.13
9,1,79,79.68
9,2,79,79.69
9,3,79,79.81
9,4,79,80.00
10,0,64,64.34
10,1,64,64.40
10,2,63,63.90
10,3,64,64.29
10,4,64,64.80
11,0,63,63.69
11,1,63,63.32
11,2,63,63.91
11,3,63,63.77
11,4,63,63.76
12,0,73,73.41
12,1,74,74.84
12,2,73,73.64
12,3,73,73.79
12,4,72,72.53
13,0,66,66.67
13,1,67,67.50
13,2,65,66.16
13,3,66,66.95
13,4,66,66.99
14,0,53,54.05
14,1,53,53.78
14,2,53,53.95
14,3,53,53.79
14,4,54,54.25
15,0,71,72.07
15,1,70,71.11
15,2,71,72.07
15,3,71,71.85
15,4,71,71.96
16,0,53,54.05
16,1,54,54.91
16,2,54,55.07
