NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart
30,1,0,10,11
30,3,0,20,32
30,4,21,34,68
30,0,0,233,234
30,6,0,34,269
30,2,11,256,270
30,5,201,257,492
30,7,35,222,493
30,10,1,18,513
30,8,222,34,529
30,12,16,34,566
30,11,19,215,729
30,9,0,240,733
30,14,163,26,758
30,13,37,242,809
30,17,0,32,842
30,15,3,280,1015
30,16,75,234,1045
30,19,0,32,1048
30,18,206,35,1052
30,20,30,13,1061
30,21,0,20,1067
30,23,6,11,1081
30,24,13,21,1105
30,25,0,153,1235
30,26,154,11,1248
30,27,13,21,1270
30,29,0,32,1283
30,28,0,36,1287
30,22,15,430,1492
