NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart,ExecutedAt
50,0,0,16,16,10.244.0.4
50,1,16,15,32,10.244.1.7
50,2,15,16,49,10.244.0.4
50,3,16,12,61,10.244.1.7
50,4,12,12,73,10.244.0.4
50,5,12,12,86,10.244.1.7
50,6,12,12,99,10.244.0.4
50,7,12,13,113,10.244.1.7
50,8,13,12,125,10.244.0.4
50,9,12,12,137,10.244.1.7
50,10,12,12,149,10.244.0.4
50,11,12,12,162,10.244.1.7
50,12,12,16,178,10.244.0.4
50,13,16,13,192,10.244.1.7
50,14,13,12,205,10.244.0.4
50,15,12,13,219,10.244.1.7
50,16,13,12,231,10.244.0.4
50,17,12,12,243,10.244.1.7
50,18,12,12,256,10.244.0.4
50,19,12,12,268,10.244.1.7
50,20,12,12,280,10.244.0.4
50,21,12,12,292,10.244.1.7
50,22,12,12,305,10.244.0.4
50,23,12,14,319,10.244.1.7
50,24,14,12,331,10.244.0.4
50,25,12,12,343,10.244.1.7
50,26,12,12,356,10.244.0.4
50,27,12,16,373,10.244.1.7
50,28,16,12,385,10.244.0.4
50,29,12,13,399,10.244.1.7
50,30,13,12,411,10.244.0.4
50,31,12,12,423,10.244.1.7
50,32,12,16,440,10.244.0.4
50,33,16,13,454,10.244.1.7
50,34,13,12,466,10.244.0.4
50,35,12,12,478,10.244.1.7
50,36,12,12,491,10.244.0.4
50,37,12,13,505,10.244.1.7
50,38,13,13,519,10.244.0.4
50,39,13,16,535,10.244.1.7
50,40,16,16,552,10.244.0.4
50,41,16,14,566,10.244.1.7
50,42,14,16,583,10.244.0.4
50,43,16,16,600,10.244.1.7
50,44,16,12,612,10.244.0.4
50,45,12,13,626,10.244.1.7
50,46,13,15,641,10.244.0.4
50,47,15,16,658,10.244.1.7
50,48,16,16,675,10.244.0.4
50,49,16,12,687,10.244.1.7
