NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart,ExecutedAt
20,1,0,12,12,10.244.2.14
20,0,0,16,16,10.244.0.13
20,3,4,12,29,10.244.0.13
20,2,12,16,29,10.244.2.14
20,5,0,12,41,10.244.2.14
20,4,12,12,41,10.244.0.13
20,6,12,12,53,10.244.2.14
20,7,0,14,55,10.244.0.13
20,8,12,12,66,10.244.2.14
20,9,1,12,68,10.244.0.13
20,10,10,13,79,10.244.2.14
20,11,1,12,80,10.244.0.13
20,13,1,13,94,10.244.0.13
20,12,11,16,96,10.244.2.14
20,14,13,12,107,10.244.0.13
20,15,1,14,110,10.244.2.14
20,16,10,12,119,10.244.0.13
20,17,3,12,122,10.244.2.14
20,18,9,12,132,10.244.0.13
20,19,3,12,135,10.244.2.14
