TimeStampSecs,NumIdleCores
0,12
1,12
2,12
3,12
4,12
5,12
6,12
7,12
8,12
9,12
10,12
11,12
12,12
13,4
14,4
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,12
37,4
38,4
39,4
40,4
41,8
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,8
59,8
60,8
61,8
62,8
63,12
64,12
65,12
66,12
67,12
68,12
69,12
70,12
71,12
72,12
73,12
74,12
75,12
76,12
77,12
78,12
79,12
80,12
81,10
82,10
83,10
84,10
85,10
86,10
87,10
88,2
89,2
90,2
91,2
92,2
93,2
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,12
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
124,6
125,6
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,12
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,8
146,8
147,8
148,8
149,2
150,2
151,2
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,6
166,6
167,6
168,6
169,6
170,6
171,14
172,6
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,10
193,2
194,2
195,2
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,4
212,4
213,4
214,14
215,8
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,8
237,4
238,4
239,4
240,4
241,4
242,10
243,10
244,10
245,10
246,10
247,10
248,10
249,10
250,10
251,10
252,2
253,2
254,2
255,2
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,2
268,2
269,2
270,2
271,2
272,2
273,10
274,2
275,6
276,6
277,6
278,6
279,6
280,6
281,6
282,6
283,6
284,6
285,6
286,6
287,6
288,6
289,6
290,6
291,6
292,6
293,6
294,6
295,14
296,6
297,6
298,6
299,6
300,6
301,6
302,6
303,6
304,6
305,6
306,6
307,6
308,6
309,4
310,4
311,4
312,4
313,4
314,4
315,4
316,4
317,12
318,14
319,14
320,14
321,14
322,14
323,14
324,14
325,14
326,14
327,14
328,14
329,8
330,8
331,8
332,8
333,8
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,8
356,8
357,8
358,8
359,8
360,8
361,8
362,8
363,8
364,10
365,10
366,10
367,10
368,10
369,10
370,10
371,10
372,10
373,10
374,10
375,10
376,10
377,4
378,4
379,4
380,4
381,4
382,4
383,10
384,2
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,2
401,2
402,2
403,2
404,8
405,16
406,16
407,16
408,16
409,16
410,16
411,16
412,16
413,16
414,16
415,16
416,16
417,16
418,16
419,16
420,16
421,16
422,16
423,16
424,16
425,16
426,10
427,10
428,10
429,10
430,10
431,10
432,10
433,10
434,2
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,8
454,8
455,16
456,16
457,16
458,16
459,16
460,16
461,10
462,10
463,10
464,10
465,10
466,10
467,10
468,10
469,10
470,8
471,2
472,2
473,2
474,2
475,2
476,2
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,2
486,2
487,2
488,8
489,2
490,2
491,2
492,2
493,2
494,2
495,2
496,2
497,2
498,8
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,6
517,2
518,2
519,2
520,10
521,10
522,10
523,10
524,10
525,10
526,10
527,10
528,10
529,10
530,10
531,10
532,10
533,10
534,10
535,10
536,10
537,10
538,10
539,10
540,10
541,10
542,10
543,10
544,10
545,12
546,12
547,12
548,12
549,12
550,12
551,12
552,12
553,16
554,16
555,16
556,16
557,16
558,10
559,10
560,10
561,10
562,10
563,10
564,10
565,10
566,2
567,2
568,2
569,2
570,2
571,2
572,2
573,2
574,2
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,6
587,14
588,6
589,6
590,6
591,6
592,6
593,6
594,6
595,6
596,6
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,10
610,10
611,10
612,10
613,10
614,10
615,10
616,10
617,10
618,10
619,10
620,10
621,10
622,10
623,6
624,6
625,6
626,6
627,6
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,8
636,8
637,8
638,8
639,2
640,2
641,2
642,2
643,2
644,2
645,2
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,4
662,2
663,2
664,2
665,2
666,8
667,2
668,2
669,6
670,4
671,4
672,4
673,4
674,4
675,4
676,4
677,4
678,4
679,4
680,4
681,4
682,4
683,4
684,4
685,4
686,4
687,4
688,4
689,4
690,4
691,4
692,4
693,4
694,4
695,10
696,2
697,2
698,2
699,2
700,2
701,2
702,2
703,2
704,2
705,2
706,2
707,2
708,2
709,2
710,2
711,2
712,2
713,2
714,2
715,2
716,2
717,2
718,2
719,12
720,4
721,4
722,4
723,4
724,4
725,4
726,2
727,2
728,2
729,2
730,2
731,2
732,2
733,4
734,4
735,4
736,4
737,4
738,4
739,4
740,4
741,12
742,6
743,8
744,8
745,8
746,8
747,8
748,8
749,8
750,8
751,8
752,8
753,8
754,2
755,2
756,2
757,2
758,2
759,2
760,2
761,2
762,2
763,2
764,2
765,2
766,2
767,2
768,2
769,8
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,6
782,6
783,8
784,8
785,8
786,8
787,4
788,4
789,4
790,4
791,12
792,12
793,12
794,12
795,12
796,12
797,12
798,4
799,4
800,4
801,4
802,4
803,4
804,4
805,4
806,4
807,4
808,4
809,4
810,4
811,4
812,4
813,4
814,4
815,4
816,4
817,4
818,4
819,4
820,4
821,4
822,4
823,8
824,2
825,2
826,8
827,8
828,8
829,8
830,8
831,8
832,8
833,8
834,8
835,8
836,8
837,8
838,8
839,8
840,8
841,8
842,8
843,8
844,8
845,8
846,8
847,8
848,0
849,0
850,0
851,6
852,2
853,2
854,2
855,2
856,2
857,2
858,2
859,2
860,2
861,2
862,2
863,2
864,2
865,2
866,2
867,2
868,2
869,10
870,6
871,6
872,6
873,6
874,6
875,8
876,8
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,4
892,4
893,4
894,4
895,4
896,4
897,4
898,12
899,6
900,6
901,6
902,6
903,6
904,6
905,0
906,0
907,0
908,4
909,4
910,4
911,4
912,4
913,4
914,4
915,4
916,4
917,4
918,4
919,4
920,4
921,4
922,4
923,4
924,4
925,4
926,10
927,2
928,2
929,2
930,2
931,2
932,8
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,8
949,0
950,0
951,0
952,0
953,0
954,8
955,8
956,8
957,8
958,2
959,2
960,2
961,2
962,2
963,2
964,2
965,2
966,2
967,2
968,2
969,10
970,10
971,10
972,10
973,2
974,2
975,2
976,2
977,2
978,2
979,2
980,2
981,2
982,2
983,2
