NumTasks,TaskId,TimeInQueue,ExecTime,TimeSinceStart,ExecutedAt
50,1,0,-1,60,master-10.244.2.13:exec-10.244.2.13
50,0,0,76,78,master-10.244.1.16:exec-10.244.1.16
50,2,60,16,78,master-10.244.0.12:exec-10.244.0.12
50,3,17,11,91,master-10.244.2.13:exec-10.244.2.13
50,4,0,12,91,master-10.244.3.25:exec-10.244.3.25
50,6,0,11,103,master-10.244.3.25:exec-10.244.0.12
50,5,12,12,104,master-10.244.3.25:exec-10.244.3.25
50,8,0,11,117,master-10.244.2.13:exec-10.244.2.13
50,7,12,13,118,master-10.244.3.25:exec-10.244.3.25
50,9,13,-1,119,master-10.244.1.16:exec-10.244.1.16
50,10,1,-1,121,master-10.244.2.13:exec-10.244.2.13
50,11,0,-1,122,master-10.244.3.25:exec-10.244.3.25
50,13,0,13,137,master-10.244.0.12:exec-10.244.0.12
50,12,1,16,138,master-10.244.3.25:exec-10.244.3.25
50,14,15,11,150,master-10.244.2.13:exec-10.244.2.13
50,15,1,13,154,master-10.244.3.25:exec-10.244.3.25
50,16,11,11,163,master-10.244.2.13:exec-10.244.2.13
50,17,3,12,167,master-10.244.3.25:exec-10.244.3.25
50,18,9,11,176,master-10.244.1.16:exec-10.244.1.16
50,19,3,11,180,master-10.244.1.16:exec-10.244.1.16
50,20,9,11,190,master-10.244.2.13:exec-10.244.2.13
50,21,3,11,193,master-10.244.1.16:exec-10.244.1.16
50,22,9,11,203,master-10.244.3.25:exec-10.244.3.25
50,23,3,13,209,master-10.244.2.13:exec-10.244.2.13
50,25,6,-1,211,master-10.244.1.16:exec-10.244.1.16
50,24,9,11,216,master-10.244.2.13:exec-10.244.0.12
50,26,2,11,224,master-10.244.2.13:exec-10.244.2.13
50,28,8,-1,227,master-10.244.0.12:exec-10.244.0.12
50,27,4,15,233,master-10.244.1.16:exec-10.244.1.16
50,29,2,13,242,master-10.244.1.16:exec-10.244.1.16
50,30,6,11,247,master-10.244.1.16:exec-10.244.1.16
50,31,8,11,255,master-10.244.3.25:exec-10.244.3.25
50,32,4,16,264,master-10.244.2.13:exec-10.244.2.13
50,33,8,13,271,master-10.244.2.13:exec-10.244.2.13
50,34,9,11,277,master-10.244.3.25:exec-10.244.3.25
50,35,6,11,284,master-10.244.2.13:exec-10.244.2.13
50,36,6,11,291,master-10.244.1.16:exec-10.244.1.16
50,37,6,13,299,master-10.244.1.16:exec-10.244.1.16
50,38,6,13,306,master-10.244.1.16:exec-10.244.1.16
50,40,0,16,316,master-10.244.3.25:exec-10.244.0.12
50,39,8,16,316,master-10.244.3.25:exec-10.244.3.25
50,42,10,-1,319,master-10.244.1.16:exec-10.244.1.16
50,43,0,-1,319,master-10.244.0.12:exec-10.244.0.12
50,41,6,13,321,master-10.244.0.12:exec-10.244.0.12
50,44,2,11,332,master-10.244.1.16:exec-10.244.1.16
50,45,2,13,337,master-10.244.0.12:exec-10.244.0.12
50,46,10,11,345,master-10.244.1.16:exec-10.244.1.16
50,47,4,15,354,master-10.244.2.13:exec-10.244.2.13
50,48,8,15,363,master-10.244.1.16:exec-10.244.1.16
50,49,8,12,367,master-10.244.3.25:exec-10.244.3.25
