TaskId,App,Size,InterArrivalTimeSecs
0,mpi-migrate,2,0
1,mpi-migrate,12,44
2,mpi-migrate,6,4
3,mpi-migrate,7,12
4,mpi-migrate,10,7
5,mpi-migrate,15,0
6,mpi-migrate,15,4
7,mpi-migrate,6,6
8,mpi-migrate,7,9
9,mpi-migrate,7,16
10,mpi-migrate,6,1
11,mpi-migrate,6,2
12,mpi-migrate,13,3
13,mpi-migrate,11,31
14,mpi-migrate,14,15
15,mpi-migrate,10,14
16,mpi-migrate,9,4
17,mpi-migrate,10,15
18,mpi-migrate,9,27
19,mpi-migrate,9,0
20,mpi-migrate,12,19
21,mpi-migrate,15,1
22,mpi-migrate,4,1
23,mpi-migrate,6,3
24,mpi-migrate,12,14
