TaskId,App,Size,InterArrivalTimeSecs
0,mpi-locality,6,0
1,mpi-locality,15,11
2,mpi-locality,5,19
3,mpi-locality,10,1
4,mpi-locality,5,8
5,mpi-locality,11,7
6,mpi-locality,2,5
7,mpi-locality,9,8
8,mpi-locality,14,26
9,mpi-locality,14,25
10,mpi-locality,2,25
11,mpi-locality,4,57
12,mpi-locality,12,1
13,mpi-locality,5,2
14,mpi-locality,2,7
15,mpi-locality,13,11
16,mpi-locality,13,28
17,mpi-locality,3,1
18,mpi-locality,7,3
19,mpi-locality,5,23
20,mpi-locality,14,7
21,mpi-locality,2,0
22,mpi-locality,15,6
23,mpi-locality,5,5
24,mpi-locality,15,5
25,mpi-locality,8,7
26,mpi-locality,7,0
27,mpi-locality,5,6
28,mpi-locality,12,16
29,mpi-locality,4,15
30,mpi-locality,4,1
31,mpi-locality,14,48
32,mpi-locality,9,0
33,mpi-locality,7,6
34,mpi-locality,15,18
35,mpi-locality,11,12
36,mpi-locality,8,7
37,mpi-locality,9,16
38,mpi-locality,12,16
39,mpi-locality,14,2
40,mpi-locality,12,21
41,mpi-locality,6,1
42,mpi-locality,11,10
43,mpi-locality,4,14
44,mpi-locality,2,29
45,mpi-locality,4,0
46,mpi-locality,11,27
47,mpi-locality,4,16
48,mpi-locality,11,0
49,mpi-locality,4,3
50,mpi-locality,10,1
51,mpi-locality,11,9
52,mpi-locality,13,8
53,mpi-locality,14,19
54,mpi-locality,14,4
55,mpi-locality,12,3
56,mpi-locality,6,2
57,mpi-locality,6,24
58,mpi-locality,14,13
59,mpi-locality,5,0
60,mpi-locality,3,3
61,mpi-locality,14,2
62,mpi-locality,12,0
63,mpi-locality,9,9
64,mpi-locality,11,2
65,mpi-locality,7,0
66,mpi-locality,9,15
67,mpi-locality,14,10
68,mpi-locality,13,5
69,mpi-locality,5,2
70,mpi-locality,8,28
71,mpi-locality,10,16
72,mpi-locality,6,3
73,mpi-locality,7,2
74,mpi-locality,7,2
75,mpi-locality,13,15
76,mpi-locality,15,9
77,mpi-locality,3,12
78,mpi-locality,10,7
79,mpi-locality,13,12
80,mpi-locality,13,13
81,mpi-locality,7,6
82,mpi-locality,3,20
83,mpi-locality,12,6
84,mpi-locality,4,18
85,mpi-locality,7,3
86,mpi-locality,2,4
87,mpi-locality,9,4
88,mpi-locality,13,8
89,mpi-locality,14,36
90,mpi-locality,10,2
91,mpi-locality,7,0
92,mpi-locality,10,34
93,mpi-locality,2,0
94,mpi-locality,11,10
95,mpi-locality,10,6
96,mpi-locality,14,8
97,mpi-locality,2,13
98,mpi-locality,5,4
99,mpi-locality,8,5
