TaskId,App,Size,InterArrivalTimeSecs
0,mpi-migrate,13,0
1,mpi-migrate,6,1
2,mpi-migrate,14,21
3,mpi-migrate,13,2
4,mpi-migrate,5,28
5,mpi-migrate,6,23
6,mpi-migrate,9,16
7,mpi-migrate,12,4
8,mpi-migrate,5,7
9,mpi-migrate,2,4
10,mpi-migrate,3,6
11,mpi-migrate,5,24
12,mpi-migrate,2,19
13,mpi-migrate,5,4
14,mpi-migrate,14,3
15,mpi-migrate,11,12
16,mpi-migrate,4,6
17,mpi-migrate,12,9
18,mpi-migrate,6,5
19,mpi-migrate,12,5
20,mpi-migrate,2,41
21,mpi-migrate,10,5
22,mpi-migrate,13,29
23,mpi-migrate,12,0
24,mpi-migrate,9,15
25,mpi-migrate,4,27
26,mpi-migrate,6,20
27,mpi-migrate,3,7
28,mpi-migrate,9,4
29,mpi-migrate,9,20
30,mpi-migrate,15,20
31,mpi-migrate,8,22
32,mpi-migrate,10,6
33,mpi-migrate,6,2
34,mpi-migrate,8,2
35,mpi-migrate,4,3
36,mpi-migrate,9,6
37,mpi-migrate,13,7
38,mpi-migrate,10,7
39,mpi-migrate,7,4
40,mpi-migrate,13,35
41,mpi-migrate,10,8
42,mpi-migrate,15,15
43,mpi-migrate,3,1
44,mpi-migrate,2,12
45,mpi-migrate,12,30
46,mpi-migrate,6,0
47,mpi-migrate,13,29
48,mpi-migrate,6,2
49,mpi-migrate,9,13
50,mpi-migrate,6,17
51,mpi-migrate,15,2
52,mpi-migrate,5,1
53,mpi-migrate,11,31
54,mpi-migrate,13,20
55,mpi-migrate,10,9
56,mpi-migrate,14,9
57,mpi-migrate,10,11
58,mpi-migrate,13,2
59,mpi-migrate,2,1
60,mpi-migrate,11,21
61,mpi-migrate,5,1
62,mpi-migrate,9,8
63,mpi-migrate,8,9
64,mpi-migrate,7,7
65,mpi-migrate,11,23
66,mpi-migrate,8,6
67,mpi-migrate,3,2
68,mpi-migrate,9,5
69,mpi-migrate,7,7
70,mpi-migrate,4,0
71,mpi-migrate,2,0
72,mpi-migrate,10,4
73,mpi-migrate,4,28
74,mpi-migrate,5,6
75,mpi-migrate,12,13
76,mpi-migrate,14,6
77,mpi-migrate,9,0
78,mpi-migrate,6,2
79,mpi-migrate,9,2
80,mpi-migrate,5,3
81,mpi-migrate,10,18
82,mpi-migrate,11,1
83,mpi-migrate,11,7
84,mpi-migrate,15,5
85,mpi-migrate,2,3
86,mpi-migrate,13,4
87,mpi-migrate,8,12
88,mpi-migrate,9,4
89,mpi-migrate,2,2
90,mpi-migrate,4,35
91,mpi-migrate,12,23
92,mpi-migrate,13,2
93,mpi-migrate,12,18
94,mpi-migrate,13,8
95,mpi-migrate,9,26
96,mpi-migrate,7,30
97,mpi-migrate,7,19
98,mpi-migrate,5,11
99,mpi-migrate,13,2
100,mpi-migrate,6,3
101,mpi-migrate,15,4
102,mpi-migrate,13,6
103,mpi-migrate,9,7
104,mpi-migrate,3,5
105,mpi-migrate,9,5
106,mpi-migrate,7,31
107,mpi-migrate,3,8
108,mpi-migrate,15,19
109,mpi-migrate,8,6
110,mpi-migrate,2,13
111,mpi-migrate,8,30
112,mpi-migrate,11,13
113,mpi-migrate,9,1
114,mpi-migrate,15,9
115,mpi-migrate,8,4
116,mpi-migrate,6,0
117,mpi-migrate,14,1
118,mpi-migrate,9,8
119,mpi-migrate,14,1
120,mpi-migrate,4,5
121,mpi-migrate,9,6
122,mpi-migrate,3,14
123,mpi-migrate,7,5
124,mpi-migrate,5,24
