TaskId,App,Size,InterArrivalTimeSecs
0,mpi-migrate,5,0
1,mpi-migrate,10,7
2,mpi-migrate,5,13
3,mpi-migrate,8,10
4,mpi-migrate,14,17
5,mpi-migrate,14,0
6,mpi-migrate,12,8
7,mpi-migrate,9,10
8,mpi-migrate,12,12
9,mpi-migrate,12,16
10,mpi-migrate,9,5
11,mpi-migrate,11,4
12,mpi-migrate,4,3
13,mpi-migrate,10,23
14,mpi-migrate,8,31
15,mpi-migrate,12,1
16,mpi-migrate,11,5
17,mpi-migrate,4,10
18,mpi-migrate,7,10
19,mpi-migrate,12,15
20,mpi-migrate,9,36
21,mpi-migrate,15,4
22,mpi-migrate,5,7
23,mpi-migrate,5,14
24,mpi-migrate,4,7
25,mpi-migrate,8,0
26,mpi-migrate,9,0
27,mpi-migrate,6,1
28,mpi-migrate,11,24
29,mpi-migrate,9,19
30,mpi-migrate,4,1
31,mpi-migrate,6,13
32,mpi-migrate,10,0
33,mpi-migrate,6,23
34,mpi-migrate,9,0
35,mpi-migrate,9,2
36,mpi-migrate,8,8
37,mpi-migrate,15,7
38,mpi-migrate,15,4
39,mpi-migrate,14,19
40,mpi-migrate,9,6
41,mpi-migrate,11,3
42,mpi-migrate,5,2
43,mpi-migrate,13,13
44,mpi-migrate,12,8
45,mpi-migrate,5,10
46,mpi-migrate,5,13
47,mpi-migrate,11,26
48,mpi-migrate,6,24
49,mpi-migrate,14,1
50,mpi-migrate,4,2
51,mpi-migrate,15,5
52,mpi-migrate,13,29
53,mpi-migrate,14,5
54,mpi-migrate,12,4
55,mpi-migrate,9,13
56,mpi-migrate,14,11
57,mpi-migrate,14,1
58,mpi-migrate,9,5
59,mpi-migrate,14,16
60,mpi-migrate,5,4
61,mpi-migrate,13,6
62,mpi-migrate,11,4
63,mpi-migrate,8,12
64,mpi-migrate,5,19
65,mpi-migrate,7,0
66,mpi-migrate,6,5
67,mpi-migrate,9,18
68,mpi-migrate,14,0
69,mpi-migrate,11,10
70,mpi-migrate,8,2
71,mpi-migrate,14,11
72,mpi-migrate,15,12
73,mpi-migrate,11,1
74,mpi-migrate,6,0
75,mpi-migrate,14,18
76,mpi-migrate,11,10
77,mpi-migrate,10,15
78,mpi-migrate,13,8
79,mpi-migrate,4,19
80,mpi-migrate,10,13
81,mpi-migrate,13,4
82,mpi-migrate,7,2
83,mpi-migrate,12,13
84,mpi-migrate,7,0
85,mpi-migrate,10,2
86,mpi-migrate,10,3
87,mpi-migrate,13,10
88,mpi-migrate,13,13
89,mpi-migrate,14,9
90,mpi-migrate,15,4
91,mpi-migrate,5,6
92,mpi-migrate,13,11
93,mpi-migrate,10,8
94,mpi-migrate,5,7
95,mpi-migrate,11,13
96,mpi-migrate,15,8
97,mpi-migrate,9,5
98,mpi-migrate,8,1
99,mpi-migrate,8,13
